size time0 iterations0 time1 iterations1 time2 iterations2 time3 iterations3 time4 iterations4 time5 iterations5 time6 iterations6 time7 iterations7 time8 iterations8 time9 iterations9 avg_time avg_iterations
2 7600 1 14700 1 3700 1 3800 1 3800 1 3000 1 4300 1 4200 1 3600 1 6500 1 5520.0 0.9999999999999999
4 5000 6 22000 6 5700 6 4900 6 4900 6 5000 6 4800 6 5900 6 6000 6 4600 6 6880.0 5.999999999999999
8 15500 28 9500 28 8500 28 9300 28 36900 28 6800 28 6900 28 7100 28 6500 28 6400 28 11340.0 28.000000000000004
16 30800 120 17500 120 22700 120 17100 120 85700 120 18900 120 26700 120 17000 120 25900 120 1155500 120 141780.0 120.0
32 57800 496 61000 496 55900 496 30500 496 29300 496 31000 496 26400 496 48700 496 18300 496 18600 496 37750.0 496.0000000000001
64 72100 2016 78100 2016 2667900 2016 75600 2016 224700 2016 119300 2016 124800 2016 207000 2016 87200 2016 77900 2016 373460.0 2015.9999999999995
128 337100 8128 311300 8128 293000 8128 140100 8128 122100 8128 121200 8128 109700 8128 148400 8128 121000 8128 135600 8128 183950.0 8128.000000000001
256 2349800 32640 451100 32640 1768500 32640 456500 32640 462700 32640 465700 32640 650600 32640 450300 32640 472700 32640 463600 32640 799150.0 32640.0
512 1841900 130816 1777500 130816 3323500 130816 2970600 130816 1815500 130816 2069500 130816 2874000 130816 2938600 130816 3539900 130816 3787800 130816 2693880.0 130816.00000000003
1024 8682600 523776 8801000 523776 7761400 523776 7298100 523776 8983200 523776 20162500 523776 7647100 523776 7236300 523776 7128400 523776 7247200 523776 9094780.0 523775.9999999999
2048 30742400 2096128 29617400 2096128 28786800 2096128 29350400 2096128 29091900 2096128 29029200 2096128 29055300 2096128 29797300 2096128 28750100 2096128 28467500 2096128 2.926883E7 2096128.0000000002
4096 115995100 8386560 114214800 8386560 114439600 8386560 137959400 8386560 122021000 8386560 117951400 8386560 116381400 8386560 118941400 8386560 115527100 8386560 115232800 8386560 1.188664E8 8386560.0
8192 462667700 33550336 521592800 33550336 458156600 33550336 460102600 33550336 467805900 33550336 464270000 33550336 453552200 33550336 464937000 33550336 458836100 33550336 460651300 33550336 4.6725722E8 3.3550336000000007E7
16384 2188031700 134209536 1929232400 134209536 1978405200 134209536 1914682800 134209536 2043109700 134209536 1971091000 134209536 1936977300 134209536 1947539700 134209536 1880360200 134209536 1939731500 134209536 1.97291615E9 1.3420953599999997E8
32768 8049065500 536854528 8868901600 536854528 10707805900 536854528 13150740300 536854528 13077342300 536854528 13048913700 536854528 10741424700 536854528 12494711500 536854528 11655151500 536854528 11276696200 536854528 1.130707532E10 5.3685452800000006E8
