size time0 iterations0 time1 iterations1 time2 iterations2 time3 iterations3 time4 iterations4 time5 iterations5 time6 iterations6 time7 iterations7 time8 iterations8 time9 iterations9 avg_time avg_iterations
2 1209700 3 20500 3 17500 3 44700 3 43900 3 20800 3 24600 3 21200 3 21500 3 69800 3 149420.0 2.9999999999999996
4 214800 7 92100 9 34900 7 87400 7 197400 9 1772500 11 115800 9 54600 7 168400 7 106300 11 284420.0 8.4
8 52300 19 161500 15 184400 15 61000 15 38900 17 74000 15 79100 15 70800 15 74200 17 142000 15 93820.0 15.799999999999999
16 69300 39 155000 37 99600 44 58500 39 66300 41 222700 41 55400 33 84400 31 219400 41 108300 31 113890.0 37.7
32 145700 67 77800 69 198100 69 69900 71 67100 69 60500 67 244200 67 70900 67 154100 73 137100 73 122540.0 69.2
64 115100 143 87800 147 207500 139 58700 141 109100 141 81400 143 86900 131 104000 145 191900 141 222100 129 126450.0 139.99999999999997
128 495500 271 72400 257 69700 269 69700 265 85700 279 79100 269 111800 267 218600 257 102100 295 143400 277 144800.0 270.59999999999997
256 324700 535 163100 519 167600 519 184200 539 183800 517 447600 549 162900 517 298600 551 237600 531 173100 525 234320.0 530.2
512 308200 1033 290700 1041 283200 1063 398800 1078 275800 1037 359200 1047 272400 1035 408300 1035 1353300 1059 279000 1031 422890.0 1045.9
1024 650600 2073 581900 2057 687700 2079 3594500 2075 1568300 2073 508600 2061 2911700 2089 1524000 2083 289900 2067 247700 2069 1256490.0 2072.6
2048 709100 4147 466000 4143 329700 4147 331800 4171 353600 4137 400900 4131 307200 4141 318100 4153 254100 4135 301700 4135 377220.0 4144.0
4096 1061200 8297 510000 8291 460700 8321 495000 8287 603900 8285 883600 8291 469700 8273 839100 8311 442300 8297 482500 8307 624800.0 8296.000000000002
8192 1975600 16587 1121000 16587 1394600 16611 1905200 16559 1051000 16595 1060600 16597 2710300 16577 1804400 16575 1075000 16617 1097700 16599 1519540.0 16590.4
16384 2790100 33179 2983000 33203 2838200 33153 2512000 33151 2791000 33141 3191100 33201 2922700 33111 2786000 33179 1868600 33197 3214000 33141 2789670.0 33165.6
32768 6110400 66301 4715700 66386 12202100 66385 8881700 66293 8266400 66365 8877300 66330 8666900 66271 6235000 66310 7549700 66371 6743100 66306 7824830.0 66331.8
